id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
GeneMarkS2_00000000013	0	8	2565	1	100	100%
GeneMarkS_00000000014	0	8	2565	0	100.00%	100%
GeneMark_00000000013	0	8	2565	0	100.00%	100%
HTVC010P_Prodigal_00000000014	0	8	2565	0	100.00%	100%
MGA_00000000014	0	8	2565	0	100.00%	100%
Prodigal_00000000014	0	8	2565	0	100.00%	100%
Glimmer_00000000014	0	8	2562	0	100.00%	99%
HTVC010P_glimmer_00000000014	0	8	2562	0	100.00%	99%
GeneMarkS2_00000000006	1	8	1629	1	100	100%
GeneMarkS_00000000006	1	8	1629	0	100.00%	100%
GeneMark_00000000006	1	8	1629	0	100.00%	100%
HTVC010P_Prodigal_00000000006	1	8	1629	0	100.00%	100%
MGA_00000000006	1	8	1629	0	100.00%	100%
Prodigal_00000000006	1	8	1629	0	100.00%	100%
Glimmer_00000000007	1	8	1626	0	100.00%	99%
HTVC010P_glimmer_00000000007	1	8	1626	0	100.00%	99%
GeneMark_00000000020	2	8	1515	1	100	100%
HTVC010P_Prodigal_00000000021	2	8	1494	0	97.99%	98%
Prodigal_00000000021	2	8	1494	0	97.99%	98%
GeneMarkS2_00000000020	2	8	1464	0	100.00%	96%
GeneMarkS_00000000021	2	8	1464	0	100.00%	96%
MGA_00000000022	2	8	1464	0	100.00%	96%
Glimmer_00000000021	2	8	1380	0	100.00%	91%
HTVC010P_glimmer_00000000021	2	8	1380	0	100.00%	91%
GeneMarkS2_00000000022	3	8	1347	1	100	100%
GeneMarkS_00000000023	3	8	1347	0	100.00%	100%
GeneMark_00000000022	3	8	1347	0	100.00%	100%
HTVC010P_Prodigal_00000000023	3	8	1347	0	100.00%	100%
MGA_00000000024	3	8	1347	0	100.00%	100%
Prodigal_00000000023	3	8	1347	0	100.00%	100%
Glimmer_00000000023	3	8	1344	0	100.00%	99%
HTVC010P_glimmer_00000000023	3	8	1344	0	100.00%	99%
GeneMarkS2_00000000003	4	6	1272	1	100	100%
GeneMarkS_00000000003	4	6	1272	0	100.00%	100%
GeneMark_00000000003	4	6	1272	0	100.00%	100%
Glimmer_00000000003	4	6	1269	0	100.00%	99%
HTVC010P_glimmer_00000000003	4	6	1269	0	100.00%	99%
MGA_00000000003	4	6	1155	0	100.00%	90%
GeneMarkS2_00000000017	5	8	1113	1	100	100%
GeneMarkS_00000000018	5	8	1113	0	100.00%	100%
GeneMark_00000000017	5	8	1113	0	100.00%	100%
HTVC010P_Prodigal_00000000018	5	8	1113	0	100.00%	100%
MGA_00000000019	5	8	1113	0	100.00%	100%
Prodigal_00000000018	5	8	1113	0	100.00%	100%
Glimmer_00000000018	5	8	1110	0	100.00%	99%
HTVC010P_glimmer_00000000018	5	8	1110	0	100.00%	99%
HTVC010P_Prodigal_00000000003	6	2	1047	1	100	100%
Prodigal_00000000003	6	2	1047	0	100.00%	100%
GeneMarkS2_00000000048	7	8	888	1	100	100%
GeneMarkS_00000000053	7	8	888	0	100.00%	100%
GeneMark_00000000049	7	8	888	0	100.00%	100%
HTVC010P_Prodigal_00000000054	7	8	888	0	100.00%	100%
MGA_00000000052	7	8	888	0	100.00%	100%
Prodigal_00000000054	7	8	888	0	100.00%	100%
Glimmer_00000000055	7	8	885	0	100.00%	99%
HTVC010P_glimmer_00000000055	7	8	885	0	100.00%	99%
HTVC010P_Prodigal_00000000008	8	8	885	1	100	100%
Prodigal_00000000008	8	8	885	0	100.00%	100%
GeneMarkS2_00000000008	8	8	882	0	100.00%	99%
GeneMarkS_00000000008	8	8	882	0	100.00%	99%
GeneMark_00000000008	8	8	882	0	100.00%	99%
MGA_00000000008	8	8	882	0	100.00%	99%
Glimmer_00000000009	8	8	879	0	100.00%	99%
HTVC010P_glimmer_00000000009	8	8	879	0	100.00%	99%
GeneMarkS2_00000000010	9	8	855	1	100	100%
GeneMarkS_00000000010	9	8	855	0	100.00%	100%
GeneMark_00000000009	9	8	855	0	100.00%	100%
HTVC010P_Prodigal_00000000010	9	8	855	0	100.00%	100%
MGA_00000000010	9	8	855	0	100.00%	100%
Prodigal_00000000010	9	8	855	0	100.00%	100%
Glimmer_00000000010	9	8	852	0	100.00%	99%
HTVC010P_glimmer_00000000010	9	8	852	0	100.00%	99%
GeneMarkS2_00000000016	10	8	807	1	100	100%
GeneMarkS_00000000017	10	8	807	0	100.00%	100%
GeneMark_00000000016	10	8	807	0	100.00%	100%
HTVC010P_Prodigal_00000000017	10	8	807	0	100.00%	100%
MGA_00000000017	10	8	807	0	100.00%	100%
Prodigal_00000000017	10	8	807	0	100.00%	100%
Glimmer_00000000017	10	8	804	0	100.00%	99%
HTVC010P_glimmer_00000000017	10	8	804	0	100.00%	99%
HTVC010P_Prodigal_00000000053	11	8	717	1	100	100%
Prodigal_00000000053	11	8	717	0	100.00%	100%
GeneMarkS2_00000000047	11	8	714	0	97.90%	99%
GeneMarkS_00000000052	11	8	714	0	97.90%	99%
GeneMark_00000000048	11	8	714	0	97.90%	99%
MGA_00000000051	11	8	699	0	100.00%	97%
Glimmer_00000000054	11	8	696	0	100.00%	97%
HTVC010P_glimmer_00000000054	11	8	696	0	100.00%	97%
GeneMarkS_00000000058	12	7	687	1	100	100%
GeneMark_00000000052	12	7	687	0	100.00%	100%
HTVC010P_Prodigal_00000000058	12	7	687	0	100.00%	100%
